lat,lon,att,verizon,wildlife_access_area,human_access_area,service
34.46920569,-120.2720094,NA,NA,17,Alegría beach,no
34.46900796,-120.2724446,14,0,NA,NA,no
34.46898885,-120.2725553,11,0,NA,NA,no
34.46898965,-120.2725466,14,18,NA,NA,yes
34.46896613,-120.2726924,11,21,NA,NA,yes
34.4689123,-120.272976,13,19,NA,NA,yes
34.46886568,-120.2730174,10,20,NA,Cannot pass unless negative tide,yes
34.46888472,-120.2728406,10,12,NA,NA,no
34.46892569,-120.2726005,0,12,NA,NA,no
34.46899868,-120.2722892,0,0,NA,NA,no
34.46897405,-120.2712751,0,0,NA,NA,no
34.46861202,-120.269915,10,0,NA,NA,no
34.46860629,-120.2697821,20,0,NA,NA,yes
34.46858539,-120.2696239,20,13,NA,NA,yes
34.46853448,-120.2692508,11,0,NA,NA,no
34.46855398,-120.269155,11,13,NA,NA,no
34.46855811,-120.2687218,18,13,NA,NA,yes
34.46854585,-120.2685574,14,13,NA,NA,no
34.46851112,-120.2682008,12,13,NA,NA,no
34.46848893,-120.268013,9,13,NA,NA,no
34.46850777,-120.267735,18,13,NA,NA,yes
34.46848057,-120.2675417,0,13,NA,NA,no
34.46841656,-120.2671145,0,0,NA,NA,no
34.46842742,-120.2669116,0,0,NA,NA,no
34.4683752,-120.2667639,12,13,NA,NA,no
34.46836551,-120.2661895,0,0,NA,NA,no
34.46837618,-120.2661817,0,12,NA,NA,no
34.46834035,-120.2659539,0,0,NA,NA,no
34.46800468,-120.2637419,11,0,NA,NA,no
34.46801719,-120.2635618,0,0,NA,NA,no
34.46808397,-120.2634241,0,12,NA,NA,no
34.46804836,-120.2632905,13,0,NA,NA,no
34.46802676,-120.263251,0,0,NA,NA,no
34.46795296,-120.2629856,12,0,NA,NA,no
34.46792456,-120.2627535,12,12,NA,NA,no
34.46783192,-120.2621375,12,19,NA,Sea wall start,yes
34.46782004,-120.2620887,17,16,NA,NA,yes
34.46786637,-120.2623257,14,20,NA,NA,yes
34.46786792,-120.2624328,11,20,NA,NA,yes
34.4679775,-120.2632204,0,0,NA,NA,no
34.46809718,-120.2637784,0,18,NA,NA,yes
34.46811619,-120.2638889,0,0,NA,NA,no
34.46816749,-120.26437,0,0,NA,Seawall s,no
34.468309,-120.2655152,0,0,16- Maybe - pipeline,NA,no
34.46850998,-120.2677347,0,0,NA,Seawall n,no
34.46854053,-120.2691336,0,15,NA,NA,no
34.46850624,-120.2694187,0,12,NA,NA,no
34.46849169,-120.2694705,0,21,NA,NA,yes
34.46861554,-120.2700639,0,20,NA,NA,yes
34.46877173,-120.2704692,0,20,NA,NA,yes
34.468811,-120.2706998,0,0,NA,NA,no
34.47105308,-120.2940332,0,0,17 - culvert next to boat ramp w meadow and fw,Sacate,no
34.47100362,-120.2949287,0,0,18,NA,no
34.47079147,-120.2956774,0,20,NA,NA,yes
34.4707192,-120.2957992,0,0,NA,NA,no
34.47071787,-120.2961425,0,17,NA,NA,yes
34.47047174,-120.2976855,NA,NA,19,NA,no
34.4704712,-120.2976771,0,21,NA,NA,yes
34.47025766,-120.2981922,0,21,NA,NA,yes
34.47001579,-120.2987005,0,21,NA,NA,yes
34.46959385,-120.2992257,0,24,NA,NA,yes
34.46945598,-120.2993115,0,21,NA,NA,yes
34.46894446,-120.2996166,0,21,NA,NOTE MY PHONE HAS SERVICE,yes
34.46846597,-120.2999806,16,24,NA,NA,yes
34.46847289,-120.2999693,13,21,NA,NA,yes
34.46841914,-120.3000243,13,13,NA,NA,no
34.46822213,-120.3001763,18,13,NA,NA,yes
34.46814644,-120.3003347,14,21,NA,NA,yes
34.46810736,-120.3004803,14,13,NA,NA,no
34.46800754,-120.3005855,19,13,NA,NA,yes
34.4679685,-120.3006454,20,16,NA,NA,yes
34.46795576,-120.3006144,0,15,NA,NA,no
34.46787095,-120.3010192,0,12,NA,NA,no
34.46770864,-120.3016166,0,12,NA,NA,no
34.46740522,-120.3025133,0,16,NA,NA,yes
34.46734237,-120.302708,0,20,NA,NA,yes
34.46727744,-120.302873,0,15,NA,NA,no
34.46727723,-120.3028774,0,20,NA,NA,yes
34.46711981,-120.3032626,0,26,NA,NA,yes
34.46686731,-120.3036685,0,26,NA,NA,yes
34.46686868,-120.3036703,0,17,NA,NA,yes
34.46681094,-120.3041829,0,20,NA,NA,yes
34.4668411,-120.3046104,0,24,NA,NA,yes
34.46694302,-120.3049429,0,11,NA,NA,no
34.46698713,-120.3051316,12,11,NA,NA,no
34.46703439,-120.3052939,12,0,NA,NA,no
