lon,lat,att,verizon,name,type
-120.252307,34.468318,13,0,A13 V0,cell_coverage
-120.252412,34.468111,16,0,A16,cell_coverage
-120.252534,34.468227,12,15,V12 A15,cell_coverage
-120.252601,34.468463,15,0,A15 V0,cell_coverage
-120.252462,34.468724,12,0,A12,cell_coverage
-120.258829,34.468589,19,0,A19,cell_coverage
-120.258792,34.468578,0,20,V20,cell_coverage
-120.269775,34.468645,0,11,V11,cell_coverage
-120.269634,34.468649,14,13,A14 V13,cell_coverage
-120.269142,34.468559,21,0,A21,cell_coverage
-120.268314,34.468557,21,10,A21 V10,cell_coverage
-120.267909,34.468529,21,0,A21 V0,cell_coverage
-120.267708,34.468552,12,0,A12,cell_coverage
-120.268245,34.468569,0,0,A0 V0,cell_coverage
-120.269056,34.46858,0,11,V11,cell_coverage
-120.269189,34.468579,16,0,A16,cell_coverage
-120.269617,34.468626,0,0,A0 V0,cell_coverage
-120.270241,34.46875,11,0,A11,cell_coverage
-120.270915,34.468939,0,0,A0 V0,cell_coverage
-120.273514,34.469378,19,17,A19 V17,cell_coverage
-120.277824,34.468428,19,20,A19 V20,cell_coverage
-120.281862,34.469608,13,17,A13 V17,cell_coverage
-120.284371,34.470802,0,0,A0,cell_coverage
-120.289537,34.472413,0,0,A0 V0,cell_coverage
-120.293634,34.471193,0,0,A0 V0,cell_coverage
-120.301401,34.472661,23,19,A23 V19,cell_coverage
-120.356904,34.457765,17,16,A17 V16,cell_coverage
-120.357862,34.457627,17,14,A17 V14,cell_coverage
-120.358889,34.457581,17,21,V21 A17,cell_coverage
-120.359391,34.457535,17,14,A17 V14,cell_coverage
-120.360801,34.457459,15,14,A15 V14,cell_coverage
-120.361587,34.457434,18,14,A18 V14,cell_coverage
-120.361988,34.457423,15,12,A15 V12,cell_coverage
-120.362723,34.457368,15,16,A15 V16,cell_coverage
-120.363027,34.457349,15,12,A15 V12,cell_coverage
-120.363471,34.457333,17,17,A17 V17,cell_coverage
-120.363708,34.457338,14,13,A14 V13,cell_coverage
-120.363911,34.457405,NA,NA,WAP,WAP
-120.364079,34.457363,12,0,A12 V0,cell_coverage
-120.364227,34.457339,15,19,A15 V19,cell_coverage
-120.364907,34.457326,15,12,A15 V12,cell_coverage
-120.365183,34.457388,NA,NA,WAP2,WAP
-120.365265,34.457343,0,0,A0 V0,cell_coverage
-120.365272,34.457333,17,12,A17 V12,cell_coverage
-120.365738,34.457275,18,13,A18 V13,cell_coverage
-120.365993,34.457259,14,13,A14 V13,cell_coverage
-120.366547,34.45723,17,13,A17 V13,cell_coverage
-120.367185,34.457291,NA,NA,WAP3,WAP
-120.367191,34.457297,23,17,A23 V17,cell_coverage
-120.367198,34.457293,15,11,A15 V11,cell_coverage
-120.36742,34.457144,16,17,A16 V17,cell_coverage
-120.367881,34.457181,16,20,A16 V20,cell_coverage
-120.368149,34.457182,16,12,A16 V12,cell_coverage
-120.368421,34.457187,13,12,A13 V12,cell_coverage
-120.368648,34.457212,13,19,A13 V19,cell_coverage
-120.368926,34.457287,10,0,A10 V0,cell_coverage
-120.369071,34.457341,NA,NA,WAP4,WAP
-120.369065,34.457348,NA,NA,HAP?,HAP
-120.369062,34.457353,0,0,A0 V0,cell_coverage
-120.36896,34.457402,0,0,A0 V0,cell_coverage
-120.370098,34.457507,NA,NA,WAP5,WAP
-120.371304,34.457593,NA,NA,WAP6,WAP
-120.371314,34.4576,NA,NA,HAP?,HAP
-120.371494,34.457726,NA,NA,CARCASS,cell_coverage
-120.372266,34.457487,NA,NA,WAP7,WAP
-120.372279,34.457499,13,0,A13 V0,cell_coverage
-120.372733,34.457293,0,0,A0 V0,cell_coverage
-120.37374,34.457102,11,0,A11 V0,cell_coverage
-120.373741,34.457079,18,0,A18 V0,cell_coverage
-120.373854,34.457071,11,0,A11,cell_coverage
-120.374383,34.456995,A16,V0,A16 V0,cell_coverage
-120.375218,34.456869,16,19,A16 V19,cell_coverage
-120.375962,34.456919,NA,NA,WAP8,WAP
-120.375955,34.456929,20,19,A20 V19,cell_coverage
-120.375951,34.456935,20,14,A20 V14,cell_coverage
-120.376045,34.456868,17,0,A17 V0,cell_coverage
-120.376282,34.456812,17,15,A17 V15,cell_coverage
-120.376893,34.456712,17,13,A17 V13,cell_coverage
-120.377687,34.456753,17,21,A17 V21,cell_coverage
-120.378012,34.456775,14,21,A14 V21,cell_coverage
-120.378189,34.456811,14,18,A14 V18,cell_coverage
-120.37853,34.456853,11,18,A11 V18,cell_coverage
-120.378886,34.456955,0,0,A0 V0,cell_coverage
-120.378975,34.457041,NA,NA,WAP9,WAP
-120.379733,34.457172,NA,NA,WAP10,WAP
-120.379801,34.457161,0,0,A0 V0,cell_coverage
-120.382187,34.456839,19,0,A19 V0,cell_coverage
-120.38221,34.456838,11,18,A11 V18,cell_coverage
-120.382633,34.456778,NA,NA,WAP11,WAP
-120.382632,34.4568,11,18,A11 V18,cell_coverage
-120.38262,34.45681,0,18,A0 V18,cell_coverage
-120.355977,34.458554,18,20,A18 V20,cell_coverage
-120.355752,34.458673,15,12,A15 V12,cell_coverage
-120.355345,34.458931,12,13,A12 V13,cell_coverage
-120.354315,34.459232,12,0,A12 V0,cell_coverage
-120.354099,34.459348,NA,NA,WAP12,WAP
-120.354101,34.45936,9,0,A9 V0,cell_coverage
-120.353841,34.4594,NA,NA,HAP,HAP
-120.353819,34.459378,0,0,A0 V0,cell_coverage
-120.353337,34.459259,10,0,A10 V0,cell_coverage
-120.352606,34.459175,0,0,A0 V0,cell_coverage
-120.350175,34.459078,NA,NA,WAP13,WAP
-120.349697,34.458872,11,0,A11 V0,cell_coverage
-120.349102,34.459054,11,13,A11 V13,cell_coverage
-120.349108,34.459053,NA,NA,WAP14,WAP
-120.349109,34.459054,NA,NA,HAP,HAP
-120.349071,34.459011,0,0,A0 V0,cell_coverage
-120.34635,34.458648,0,17,A0 V17,cell_coverage
-120.346083,34.458675,16,14,A16 V14,cell_coverage
-120.34467,34.458662,10,12,A10 V12,cell_coverage
-120.344469,34.458653,22,17,A22 V17,cell_coverage
-120.344246,34.45866,19,17,A19 V17,cell_coverage
-120.343944,34.458654,22,17,A22 V17,cell_coverage
-120.343603,34.458655,26,22,A26 V22,cell_coverage
-120.343295,34.458666,22,19,A22 V19,cell_coverage
-120.34294,34.458717,11,19,A11 V19,cell_coverage
-120.342673,34.458731,11,25,A11 V25,cell_coverage
-120.342385,34.458763,24,23,A24 V23,cell_coverage
-120.342045,34.458812,24,21,A24 V21,cell_coverage
-120.341853,34.458853,24,22,A24 V22,cell_coverage
-120.341383,34.459005,24,25,A24 V25,cell_coverage
-120.340692,34.459316,28,24,A28 V24,cell_coverage
