lon,lat,ele,time,name,sym
-120.252307,34.468318,5.586903,2023-05-14T22:15:25Z,A13 V0,"Flag, Blue"
-120.252412,34.468111,3.909006,2023-05-14T22:16:47Z,A16,"Flag, Blue"
-120.252534,34.468227,4.855735,2023-05-14T22:18:10Z,V12 A15,"Flag, Blue"
-120.252601,34.468463,5.177543,2023-05-14T22:19:16Z,A15 V0,"Flag, Blue"
-120.252462,34.468724,7.740152,2023-05-14T22:21:33Z,A12,"Flag, Blue"
-120.258829,34.468589,44.254028,2023-05-14T22:24:43Z,A19,"Flag, Blue"
-120.258792,34.468578,44.322308,2023-05-14T22:24:55Z,V20,"Flag, Blue"
-120.269775,34.468645,8.890709,2023-05-14T22:32:38Z,V11,"Flag, Blue"
-120.269634,34.468649,10.337267,2023-05-14T22:46:45Z,A14 V13,"Flag, Blue"
-120.269142,34.468559,10.804183,2023-05-14T22:47:51Z,A21,"Flag, Blue"
-120.268314,34.468557,9.917273,2023-05-14T22:49:21Z,A21 V10,"Flag, Blue"
-120.267909,34.468529,10.268230,2023-05-14T22:50:17Z,A21 V0,"Flag, Blue"
-120.267708,34.468552,10.504910,2023-05-14T22:51:14Z,A12,"Flag, Blue"
-120.268245,34.468569,9.966244,2023-05-14T22:52:18Z,A0 V0,"Flag, Blue"
-120.269056,34.46858,10.374767,2023-05-14T22:54:28Z,V11,"Flag, Blue"
-120.269189,34.468579,10.100204,2023-05-14T22:55:01Z,A16,"Flag, Blue"
-120.269617,34.468626,8.716817,2023-05-14T22:56:01Z,A0V0,"Flag, Blue"
-120.270241,34.46875,9.343242,2023-05-14T22:57:15Z,A11,"Flag, Blue"
-120.270915,34.468939,9.074372,2023-05-14T22:58:36Z,A0VO,"Flag, Blue"
-120.273514,34.469378,47.969181,2023-05-14T23:03:25Z,A19 V17,"Flag, Blue"
-120.277824,34.468428,53.164413,2023-05-14T23:04:38Z,A19 V20,"Flag, Blue"
-120.281862,34.469608,64.472168,2023-05-14T23:05:25Z,A13 V17,"Flag, Blue"
-120.284371,34.470802,65.130714,2023-05-14T23:06:05Z,A0,"Flag, Blue"
-120.289537,34.472413,18.405628,2023-05-14T23:08:14Z,A0V0,"Flag, Blue"
-120.293634,34.471193,19.537003,2023-05-14T23:13:54Z,A0V0,"Flag, Blue"
-120.301401,34.472661,-19.877949,2023-05-16T17:29:26Z,A23 V19,"Flag, Blue"
-120.356904,34.457765,0.233286,2023-05-16T17:30:29Z,A17 V16,"Flag, Blue"
-120.357862,34.457627,-0.324435,2023-05-16T17:31:38Z,A17 V14,"Flag, Blue"
-120.358889,34.457581,-0.597327,2023-05-16T17:32:54Z,V21 A17,"Flag, Blue"
