File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2021049_aid0001,_250m_16_days_NDVI,aid0001,2021-02-18,9220.0,-0.1824,0.7887,"(-0.1824,0.7887)",0.5581729,0.093252,0.0086959,0.616125,0.781,0.55845,0.3412,0.506
MOD13Q1_061__250m_16_days_NDVI_doy2021065_aid0001,_250m_16_days_NDVI,aid0001,2021-03-06,9273.0,-0.2,0.8929,"(-0.2,0.8929)",0.6184131,0.0887902,0.0078837,0.6724,0.8137,0.625,0.4354,0.5776
MOD13Q1_061__250m_16_days_NDVI_doy2021081_aid0001,_250m_16_days_NDVI,aid0001,2021-03-22,9270.0,-0.1977,0.9211,"(-0.1977,0.9211)",0.6407775,0.0873054,0.0076222,0.693975,0.8298,0.6483,0.4671,0.6031
MOD13Q1_061__250m_16_days_NDVI_doy2021097_aid0001,_250m_16_days_NDVI,aid0001,2021-04-07,9285.0,-0.1546,0.8875,"(-0.1546,0.8875)",0.6324373,0.0920984,0.0084821,0.6929,0.8516,0.642,0.4288,0.587
MOD13Q1_061__250m_16_days_NDVI_doy2021113_aid0001,_250m_16_days_NDVI,aid0001,2021-04-23,9227.0,-0.1716,0.9359,"(-0.1716,0.9359)",0.6281784,0.1046603,0.0109538,0.7017,0.9006,0.6408,0.3695,0.5685
MOD13Q1_061__250m_16_days_NDVI_doy2021129_aid0001,_250m_16_days_NDVI,aid0001,2021-05-09,9265.0,-0.1682,0.8242,"(-0.1682,0.8242)",0.5604866,0.1140145,0.0129993,0.6451,0.8242,0.5697,0.2503,0.4868
MOD13Q1_061__250m_16_days_NDVI_doy2021145_aid0001,_250m_16_days_NDVI,aid0001,2021-05-25,9282.0,-0.0792,0.987,"(-0.0792,0.987)",0.5098695,0.1220291,0.0148911,0.6041,0.8824,0.51065,0.1442,0.417425
MOD13Q1_061__250m_16_days_NDVI_doy2021161_aid0001,_250m_16_days_NDVI,aid0001,2021-06-10,9297.0,-0.1601,0.8275,"(-0.1601,0.8275)",0.4945638,0.1266741,0.0160463,0.5942,0.8275,0.4911,0.124,0.3924
MOD13Q1_061__250m_16_days_NDVI_doy2021177_aid0001,_250m_16_days_NDVI,aid0001,2021-06-26,9270.0,-0.1467,0.8226,"(-0.1467,0.8226)",0.4698494,0.134794,0.0181694,0.575675,0.8226,0.46445,0.048,0.358625
MOD13Q1_061__250m_16_days_NDVI_doy2021193_aid0001,_250m_16_days_NDVI,aid0001,2021-07-12,9273.0,-0.1418,0.7859,"(-0.1418,0.7859)",0.444644,0.1294193,0.0167494,0.5434,0.7859,0.4362,0.0292,0.3369
