Center Longitude dec,Map Projection,Comments,NE Corner Long dec,Begin Date,Agency,Entity ID,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Sensor,Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,End Date,Platform,Display ID
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-02-23 00:00:00-06,USGS EROS,EVUSS20210223202103016,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-03-01 00:00:00-06,SUOMI NPP,EVUSS20210223202103016,EVUSS20210223202103016
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-02-23 00:00:00-06,USGS EROS,EVUSS20210223202103086,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-03-08 00:00:00-06,SUOMI NPP,EVUSS20210223202103086,EVUSS20210223202103086
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-03-02 00:00:00-06,USGS EROS,EVUSS20210302202103086,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-03-08 00:00:00-06,SUOMI NPP,EVUSS20210302202103086,EVUSS20210302202103086
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-03-09 00:00:00-06,USGS EROS,EVUSS20210309202103156,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-03-15 00:00:00-05,SUOMI NPP,EVUSS20210309202103156,EVUSS20210309202103156
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-03-09 00:00:00-06,USGS EROS,EVUSS20210309202103226,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-03-22 00:00:00-05,SUOMI NPP,EVUSS20210309202103226,EVUSS20210309202103226
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-03-16 00:00:00-05,USGS EROS,EVUSS20210316202103226,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-03-22 00:00:00-05,SUOMI NPP,EVUSS20210316202103226,EVUSS20210316202103226
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-03-23 00:00:00-05,USGS EROS,EVUSS20210323202103296,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-03-29 00:00:00-05,SUOMI NPP,EVUSS20210323202103296,EVUSS20210323202103296
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-03-23 00:00:00-05,USGS EROS,EVUSS20210323202104056,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-04-05 00:00:00-05,SUOMI NPP,EVUSS20210323202104056,EVUSS20210323202104056
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-03-30 00:00:00-05,USGS EROS,EVUSS20210330202104056,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-04-05 00:00:00-05,SUOMI NPP,EVUSS20210330202104056,EVUSS20210330202104056
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-04-06 00:00:00-05,USGS EROS,EVUSS20210406202104126,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-04-12 00:00:00-05,SUOMI NPP,EVUSS20210406202104126,EVUSS20210406202104126
