Date,ppt (inches)
12/1/21,0
12/2/21,0
12/3/21,0
12/4/21,0
12/5/21,0
12/6/21,0
12/7/21,0.02
12/8/21,0
12/9/21,0.04
12/10/21,0.07
12/11/21,0
12/12/21,0
12/13/21,0
12/14/21,2.45
12/15/21,0.36
12/16/21,0.03
12/17/21,0.1
12/18/21,0
12/19/21,0
12/20/21,0
12/21/21,0
12/22/21,0
12/23/21,0.67
12/24/21,1.59
12/25/21,0.1
12/26/21,0.35
12/27/21,0.05
12/28/21,0.21
12/29/21,0.07
12/30/21,0.17
12/31/21,0.08
1/1/22,0.01
1/2/22,0
1/3/22,0
1/4/22,0
1/5/22,0
1/6/22,0
1/7/22,0
1/8/22,0
1/9/22,0
1/10/22,0
1/11/22,0
1/12/22,0
1/13/22,0
1/14/22,0
1/15/22,0
1/16/22,0.02
1/17/22,0
1/18/22,0.1
1/19/22,0
1/20/22,0
1/21/22,0
1/22/22,0
1/23/22,0
1/24/22,0
1/25/22,0
1/26/22,0
1/27/22,0
1/28/22,0
1/29/22,0
1/30/22,0
1/31/22,0
2/1/22,0
2/2/22,0
2/3/22,0
2/4/22,0
2/5/22,0
2/6/22,0
2/7/22,0
2/8/22,0
2/9/22,0
2/10/22,0
2/11/22,0
2/12/22,0
2/13/22,0
2/14/22,0
2/15/22,0
2/16/22,0
2/17/22,0
2/18/22,0
2/19/22,0
2/20/22,0
2/21/22,0
2/22/22,0
2/23/22,0.17
2/24/22,0
2/25/22,0
2/26/22,0
2/27/22,0
2/28/22,0
3/1/22,0
3/2/22,0
3/3/22,0
3/4/22,0
3/5/22,0.03
3/6/22,0
3/7/22,0
3/8/22,0
3/9/22,0
3/10/22,0
3/11/22,0
3/12/22,0
3/13/22,0
3/14/22,0
3/15/22,0
3/16/22,0
3/17/22,0
3/18/22,0
3/19/22,0
3/20/22,0.04
3/21/22,0
3/22/22,0
3/23/22,0
3/24/22,0
3/25/22,0
3/26/22,0
3/27/22,0
3/28/22,0.73
3/29/22,0.76
3/30/22,0
3/31/22,0
4/1/22,0
4/2/22,0
4/3/22,0
4/4/22,0
4/5/22,0
4/6/22,0
4/7/22,0
4/8/22,0
4/9/22,0
4/10/22,0
4/11/22,0
4/12/22,0
4/13/22,0
4/14/22,0
4/15/22,0
4/16/22,0
4/17/22,0
4/18/22,0
4/19/22,0
4/20/22,0
4/21/22,0
4/22/22,0.34
4/23/22,0
4/24/22,0
4/25/22,0
4/26/22,0
4/27/22,0
4/28/22,0
4/29/22,0
4/30/22,0
5/1/22,0
5/2/22,0
5/3/22,0
5/4/22,0
5/5/22,0
5/6/22,0
5/7/22,0
5/8/22,0
5/9/22,0
5/10/22,0
5/11/22,0
5/12/22,0
5/13/22,0
5/14/22,0
5/15/22,0
5/16/22,0
5/17/22,0
5/18/22,0
5/19/22,0
5/20/22,0
5/21/22,0
5/22/22,0
5/23/22,0
5/24/22,0
5/25/22,0
5/26/22,0
5/27/22,0
5/28/22,0
5/29/22,0
5/30/22,0
5/31/22,0
6/1/22,0
6/2/22,0
6/3/22,0
6/4/22,0
6/5/22,0
6/6/22,0
6/7/22,0
6/8/22,0
6/9/22,0
6/10/22,0
6/11/22,0
6/12/22,0
6/13/22,0
6/14/22,0
6/15/22,0
6/16/22,0
6/17/22,0
6/18/22,0
6/19/22,0
6/20/22,0
6/21/22,0
6/22/22,0
6/23/22,0
6/24/22,0
6/25/22,0
6/26/22,0
6/27/22,0
6/28/22,0
6/29/22,0
6/30/22,0
7/1/22,0
7/2/22,0
7/3/22,0
7/4/22,0
7/5/22,0
7/6/22,0
7/7/22,0
7/8/22,0
7/9/22,0
7/10/22,0
7/11/22,0
7/12/22,0
7/13/22,0
7/14/22,0
7/15/22,0
7/16/22,0
7/17/22,0
7/18/22,0
7/19/22,0
7/20/22,0
7/21/22,0
7/22/22,0
7/23/22,0
7/24/22,0
7/25/22,0
7/26/22,0
7/27/22,0
7/28/22,0
7/29/22,0
7/30/22,0
7/31/22,0
8/1/22,0
8/2/22,0
8/3/22,0
8/4/22,0
8/5/22,0
8/6/22,0
8/7/22,0
8/8/22,0
8/9/22,0
8/10/22,0
8/11/22,0
8/12/22,0
8/13/22,0
8/14/22,0
8/15/22,0
8/16/22,0
8/17/22,0
8/18/22,0
8/19/22,0
8/20/22,0
8/21/22,0
8/22/22,0
8/23/22,0
8/24/22,0
8/25/22,0
8/26/22,0
8/27/22,0
8/28/22,0
8/29/22,0
8/30/22,0
8/31/22,0
9/1/22,0
9/2/22,0
9/3/22,0
9/4/22,0
9/5/22,0
9/6/22,0
9/7/22,0
9/8/22,0
9/9/22,0
9/10/22,0.01
9/11/22,0.05
9/12/22,0
9/13/22,0.02
9/14/22,0
9/15/22,0
9/16/22,0
9/17/22,0
9/18/22,0
9/19/22,0.4
9/20/22,1.27
9/21/22,0
9/22/22,0
9/23/22,0
9/24/22,0
9/25/22,0
9/26/22,0
9/27/22,0
9/28/22,0
9/29/22,0
9/30/22,0
10/1/22,0
10/2/22,0
10/3/22,0
10/4/22,0
10/5/22,0
10/6/22,0
10/7/22,0
10/8/22,0
10/9/22,0
10/10/22,0
10/11/22,0
10/12/22,0
10/13/22,0
10/14/22,0
10/15/22,0.05
10/16/22,0
10/17/22,0
10/18/22,0
10/19/22,0
10/20/22,0
10/21/22,0
10/22/22,0
10/23/22,0
10/24/22,0
10/25/22,0
10/26/22,0
10/27/22,0
10/28/22,0
10/29/22,0
10/30/22,0
10/31/22,0
11/1/22,0
11/2/22,0.05
11/3/22,0
11/4/22,0
11/5/22,0
11/6/22,0
11/7/22,0
11/8/22,0.45
11/9/22,0.79
11/10/22,0
11/11/22,0
11/12/22,0
11/13/22,0
11/14/22,0
11/15/22,0
11/16/22,0
11/17/22,0
11/18/22,0
11/19/22,0
11/20/22,0
11/21/22,0
11/22/22,0
11/23/22,0
11/24/22,0
11/25/22,0
11/26/22,0
11/27/22,0
11/28/22,0
11/29/22,0
11/30/22,0
12/1/22,0
12/2/22,0.51
12/3/22,0.36
12/4/22,0.56
12/5/22,0.11
12/6/22,0
12/7/22,0
12/8/22,0
12/9/22,0
12/10/22,0.01
12/11/22,1.32
12/12/22,0.28
12/13/22,0.08
12/14/22,0
12/15/22,0
12/16/22,0
12/17/22,0
12/18/22,0
12/19/22,0
12/20/22,0
12/21/22,0
12/22/22,0
12/23/22,0
12/24/22,0
12/25/22,0
12/26/22,0
12/27/22,0
12/28/22,1.26
12/29/22,0
12/30/22,0.02
12/31/22,0.11
1/1/23,1.25
1/2/23,0
1/3/23,0.14
1/4/23,0.02
1/5/23,1.46
1/6/23,0.22
1/7/23,0
1/8/23,0.18
1/9/23,1.06
1/10/23,4.17
1/11/23,0.21
1/12/23,0
1/13/23,0
1/14/23,0.02
1/15/23,1.1
1/16/23,0.44
1/17/23,0.27
1/18/23,0
1/19/23,0
1/20/23,0.03
1/21/23,0
1/22/23,0
1/23/23,0
1/24/23,0
1/25/23,0
1/26/23,0
1/27/23,0
1/28/23,0
1/29/23,0
1/30/23,0.07
1/31/23,0.02
2/1/23,0
2/2/23,0
2/3/23,0
2/4/23,0
2/5/23,0.28
2/6/23,0
2/7/23,0
2/8/23,0
2/9/23,0
2/10/23,0
2/11/23,0
2/12/23,0
2/13/23,0
2/14/23,0
2/15/23,0
2/16/23,0
2/17/23,0
2/18/23,0
2/19/23,0
2/20/23,0
2/21/23,0
2/22/23,0
2/23/23,0.15
2/24/23,0.88
2/25/23,2.87
2/26/23,0.18
2/27/23,0.1
2/28/23,0.33
3/1/23,0.55
3/2/23,0.11
3/3/23,0
3/4/23,0
3/5/23,0.09
3/6/23,0.02
3/7/23,0
3/8/23,0
3/9/23,0
3/10/23,0.52
3/11/23,1.15
3/12/23,0.04
3/13/23,0
3/14/23,0.06
3/15/23,1.81
3/16/23,0.01
3/17/23,0
3/18/23,0
3/19/23,0.07
3/20/23,0.06
3/21/23,0.49
3/22/23,0.96
3/23/23,0.25
3/24/23,0.02
3/25/23,0
3/26/23,0
3/27/23,0
3/28/23,0
3/29/23,0.58
3/30/23,0.43
3/31/23,0.01
4/1/23,0
