deployment_id,filename,is_blank,identified_by,class,order,family,genus,species,common_name,date,time,number_of_objects,behavior,markings,year,month,day
Black Canyon,bc_18jun22_05794.JPG,0,Sophie Cameron,Mammalia,Cetartiodactyla,Suidae,Sus,scrofa,Wild Boar,2022-06-04,02:46:45,1,standing,NA,2022,Jun,4
Black Canyon,bc_18jun22_06241.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-06-04,22:04:14,1,walking,NA,2022,Jun,4
Black Canyon,bc_18jun22_06243.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-06-04,22:04:15,1,walking,NA,2022,Jun,4
Black Canyon,bc_18jun22_06244.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-06-04,22:04:15,1,walking,NA,2022,Jun,4
Black Canyon,bc_18jun22_06246.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-06-04,22:04:16,1,walking,NA,2022,Jun,4
Cojo Canyon,coca_26aug22_00208.JPG,0,Sophie Cameron,Mammalia,Cetartiodactyla,Suidae,Sus,scrofa,Wild Boar,2022-08-06,00:01:26,1,walking,NA,2022,Aug,6
Black Canyon,bc_18jun22_05787.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-06-03,21:36:03,2,"walking, noticing camera",NA,2022,Jun,3
Black Canyon,bc_18jun22_05787.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-06-03,21:36:03,2,"walking, noticing camera",NA,2022,Jun,3
Black Canyon,bc_18jun22_05791.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-06-03,21:36:04,2,"walking, noticing camera",NA,2022,Jun,3
Black Canyon,bc_18jun22_05791.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-06-03,21:36:04,2,"walking, noticing camera",NA,2022,Jun,3
North Beach Canyon,nbc_14May22_00665.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:04:53,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00666.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:04:53,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00667.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:04:53,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00679.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:04:57,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00683.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:03,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00686.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:03,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00699.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:15,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00700.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:15,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00703.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:15,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00704.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:15,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00715.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:23,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00721.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:27,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00722.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:27,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00729.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:31,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00730.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:31,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00735.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:31,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00737.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:46,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00739.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:46,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00742.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:05:47,1,noticing camera,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00773.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-11,09:06:17,1,noticing camera,NA,2017,Apr,11
North Beach Canyon,nbc_14May22_00774.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-11,09:06:17,1,noticing camera,NA,2017,Apr,11
North Beach Canyon,nbc_14May22_00628.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:04:36,1,standing still,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00629.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:04:36,1,standing still,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00631.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:04:37,1,standing still,NA,2017,Apr,9
North Beach Canyon,nbc_14May22_00632.JPG,0,Zoe Zilz,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2017-04-09,22:04:37,1,standing still,NA,2017,Apr,9
Black Canyon,bc_18jun22_07647.JPG,0,Sophie Cameron,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2022-06-08,08:38:06,1,walking,NA,2022,Jun,8
Cojo Canyon,coca_26aug22_00208.JPG,0,Sophie Cameron,Mammalia,Cetartiodactyla,Suidae,Sus,scrofa,Wild Boar,2022-08-06,00:01:26,1,walking,NA,2022,Aug,6
Percos Boat,boat_18jun22_00333.JPG,0,Sophie Cameron,Aves,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,NA,2021-09-14,13:28:16,1,"resting, standing",NA,2021,Sep,14
Big Cojo,big_16oct22_00441.JPG,0,Sophie Cameron,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2022-10-01,08:51:18,1,walking,NA,2022,Oct,1
Big Cojo,big_16oct22_00443.JPG,0,Sophie Cameron,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2022-10-01,08:51:18,1,walking,NA,2022,Oct,1
Big Cojo,big_16oct22_00446.JPG,0,Sophie Cameron,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,2022-10-01,08:51:18,1,walking,NA,2022,Oct,1
Percos Boat,boat_20aug22_04315.JPG,0,Sophie Cameron,Aves,Charadriiformes,Laridae,Larus,occidentalis,Western Gull,2021-12-03,15:58:43,1,NA,foraging,2021,Dec,3
Percos Boat,boat_20aug22_04318.JPG,0,Sophie Cameron,Aves,Charadriiformes,Laridae,Larus,occidentalis,Western Gull,2021-12-03,15:58:44,1,NA,foraging,2021,Dec,3
Big Cojo,gov_14may22_02183.JPG,0,Zoe Zilz,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-05-02,01:22:42,1,NA,limpy,2022,May,2
Big Cojo,gov_14may22_08040.JPG,0,Zoe Zilz,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-05-06,21:34:39,1,NA,limpy,2022,May,6
Percos Boat,boat_20aug22_03865.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2021-12-03,07:33:58,1,standing still,one eye,2021,Dec,3
Percos Boat,boat_20aug22_03869.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2021-12-03,07:33:59,1,standing still,one eye,2021,Dec,3
Percos Beach,pb_30jul22_00228.JPG,0,Sophie Cameron,Mammalia,Cetartiodactyla,Suidae,Sus,scrofa,Wild Boar,2022-06-22,02:21:06,1,NA,"standing still, noticing camera",2022,Jun,22
Percos Boat,boat_20aug22_03083.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2021-12-02,01:53:18,1,NA,walking,2021,Dec,2
Percos Boat,boat_20aug22_03087.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2021-12-02,01:53:19,1,NA,walking,2021,Dec,2
Percos Boat,boat_20aug22_03091.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2021-12-02,03:13:09,1,NA,walking,2021,Dec,2
Percos Boat,boat_20aug22_03092.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2021-12-02,03:13:09,1,NA,walking,2021,Dec,2
Percos Boat,boat_20aug22_03094.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2021-12-02,03:13:10,1,NA,walking,2021,Dec,2
Percos Boat,boat_20aug22_03112.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2021-12-02,03:56:20,1,NA,walking,2021,Dec,2
Percos Boat,boat_20aug22_03850.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2021-12-03,03:26:09,1,NA,walking,2021,Dec,3
Percos Boat,boat_20aug22_03853.JPG,0,Sophie Cameron,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2021-12-03,03:26:09,1,NA,walking,2021,Dec,3
Percos Boat,boat_20aug22_09209.JPG,0,Computer vision,Mammalia,Carnivora,Canidae,Canis,NA,Canis Species,2021-12-10,23:30:50,1,NA,NA,2021,Dec,10
Percos Boat,boat_20aug22_09878.JPG,0,Computer vision,Mammalia,Carnivora,Canidae,Canis,NA,Canis Species,2021-12-11,23:52:15,1,NA,NA,2021,Dec,11
North Beach Fort,fort_20aug22_00032.JPG,0,Computer vision,Aves,Cathartiformes,Cathartidae,Cathartes,aura,Turkey Vulture,2022-07-30,17:23:50,1,NA,NA,2022,Jul,30
North Beach Fort,fort_20aug22_00125.JPG,0,Computer vision,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-07-31,21:38:52,1,NA,NA,2022,Jul,31
North Beach Fort,fort_20aug22_00123.JPG,0,Computer vision,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-07-31,21:38:52,1,NA,NA,2022,Jul,31
North Beach Fort,fort_20aug22_00121.JPG,0,Computer vision,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-07-31,21:38:52,1,NA,NA,2022,Jul,31
North Beach Fort,fort_20aug22_00128.JPG,0,Computer vision,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-07-31,21:38:52,1,NA,NA,2022,Jul,31
North Beach Fort,fort_20aug22_00153.JPG,0,Computer vision,Aves,Passeriformes,Corvidae,Corvus,NA,Corvus Species,2022-08-01,16:47:19,1,NA,NA,2022,Aug,1
North Beach Fort,fort_20aug22_01731.JPG,0,Computer vision,Mammalia,Cetartiodactyla,Bovidae,Bos,taurus,Domestic Cattle,2022-08-04,07:08:22,1,NA,NA,2022,Aug,4
North Beach Fort,fort_20aug22_01759.JPG,0,Computer vision,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-08-05,01:17:30,1,NA,NA,2022,Aug,5
North Beach Fort,fort_20aug22_01793.JPG,0,Computer vision,Aves,Passeriformes,Corvidae,Corvus,NA,Corvus Species,2022-08-06,06:53:38,1,NA,NA,2022,Aug,6
North Beach Fort,fort_20aug22_01756.JPG,0,Computer vision,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-08-05,01:17:29,1,NA,NA,2022,Aug,5
North Beach Fort,fort_20aug22_01799.JPG,0,Computer vision,Aves,Passeriformes,Corvidae,Corvus,NA,Corvus Species,2022-08-06,06:53:39,1,NA,NA,2022,Aug,6
North Beach Fort,fort_20aug22_01797.JPG,0,Computer vision,Aves,Passeriformes,Corvidae,Corvus,NA,Corvus Species,2022-08-06,06:53:38,1,NA,NA,2022,Aug,6
North Beach Fort,fort_20aug22_01805.JPG,0,Computer vision,Mammalia,Carnivora,Canidae,Canis,NA,Canis Species,2022-08-06,22:51:25,1,NA,NA,2022,Aug,6
North Beach Fort,fort_20aug22_01828.JPG,0,Computer vision,Mammalia,Cetartiodactyla,Bovidae,Bos,taurus,Domestic Cattle,2022-08-08,00:57:21,1,NA,NA,2022,Aug,8
North Beach Fort,fort_20aug22_01920.JPG,0,Computer vision,Mammalia,Carnivora,Canidae,Canis,NA,Canis Species,2022-08-10,22:40:13,1,NA,NA,2022,Aug,10
North Beach Fort,fort_20aug22_01734.JPG,0,Computer vision,Mammalia,Cetartiodactyla,Bovidae,Bos,taurus,Domestic Cattle,2022-08-04,07:08:23,1,NA,NA,2022,Aug,4
North Beach Fort,fort_20aug22_02028.JPG,0,Computer vision,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,2022-08-13,22:28:08,1,NA,NA,2022,Aug,13
