project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2004085,2041545,1,,,,
2004085,2041546,2,,,,
2004085,2041547,3,,,,
2004085,2041548,4,,,,
2004085,2041549,5,,,,
2004085,2041550,6,,,,
2004085,2041551,7,,,,
2004085,2041552,8,,,,
2004085,2041553,9,,,,
2004085,2041554,10,,,,
2004085,2041555,11,,,,
2004085,2041556,12,,,,
2004085,2041557,13,,,,
2004085,2041558,14,,,,
2004085,2041559,15,,,,
2004085,2041560,16,,,,
2004085,2041561,17,,,,
2004085,2041562,18,,,,
2004085,2041563,19,,,,
2004085,2041564,20,,,,
2004085,2041565,21,,,,
2004085,2041566,22,,,,
2004085,2041567,23,,,,
2004085,2041568,24,,,,
2004085,2041569,25,,,,
2004085,2041570,26,,,,
2004085,2041571,27,,,,
2004085,2041572,28,,,,
2004085,2041573,29,,,,
2004085,2041574,30,,,,
2004085,2041575,31,,,,
2004085,2041576,32,,,,
2004085,2041577,33,,,,
2004085,2041578,34,,,,
