project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2004085,Jalama Cam,Cojo,-120.4991,34.503762,2022-05-01 00:00:00,2023-01-01 00:00:00,None,,None,,2041574,DANGER30,10,Camera Hardware Failure,Knee height,,Varies,,,,,JBCP,,,,,,Lost in January storm
2004085,North Beach Fort Cam,North Beach Fort,-120.474388,34.470065,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041554,DANGER6,10,Camera Functioning,Knee height,,Varies,,,,,JLDP,,,,,Zilz,
2004085,seawall cam,Seawall,-120.4781883,34.4794098,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041571,VANDY3,10,Camera Functioning,Knee height,,Varies,,,,,JLDP,,,,,Zilz,
2004085,Agua Caliente Beach 11/01/2023,Agua Caliente Beach,-120.25228,34.4685,2023-11-01 00:00:00,2023-11-28 00:00:00,None,,Water source,,2093314,Caliente Cam,30,Camera Functioning,Knee height,,Parallel,,,,,HROA,,,,,,Adjacent to Agua Caliente estuary. Networked. 
2004085,Percos Boat Rodents,Percos Boat,-120.445674,34.450395,2022-05-17 00:00:00,2022-06-18 00:00:00,None,,Other,Hide (boat),2041546,2,30,Camera Hardware Failure,Other,Ankle,Pointed Downward,,,,,JLDP,,,,,,Camera fell and pointed downwards - caught lots of footage of rodents
2004085,Old Fencepost Cam April 2022,Old Fencepost,-120.538155,34.538088,2022-04-20 00:00:00,2023-05-10 00:00:00,None,,None,,2041559,VANDY15,30,Camera Hardware Failure,Knee height,,Varies,,,,,VSFB,,,,,,
2004085,Saucito,Saucito Canyon,-120.5670403,34.5506971,2022-05-01 00:00:00,2023-01-01 00:00:00,None,,Trail game,,2041566,VANDY4,60,Camera Hardware Failure,Knee height,,Varies,,,,,VSFB,,,,,,Lost during January 2023 storm
2004085,Cove Cam,Cove,-120.4566805,34.4446375,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041557,DANGER7,10,Camera Hardware Failure,Knee height,,Varies,,,,,JLDP,,,,,,
2004085,Morida Cam,Morida,-120.556447,34.543781,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041562,VANDY18,10,Camera Functioning,Knee height,,Varies,,,,,VSFB,,,,,Zilz,
2004085,Alegria Seawall November,Alegria Seawall,-120.26436,34.46818,2023-09-25 00:00:00,2023-11-01 00:00:00,None,,Trail game,Seawall,2093312,Alegria Seawall Cam,30,Camera Functioning,Chest height,,Pointed Downward,,,,,HROA,,,,,,Adjacent to seawall at base of bluffs. Non-networked camera.
2004085,North Vista Spring Cam,North Vista Spring,-120.473617,34.467715,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041552,DANGER8,0,Camera Functioning,Knee height,,Varies,,,,,JLDP,,,,,Zilz,
2004085,RIZ Cam,RIZ N,-120.5523943,34.5412739,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041563,VANDY6,10,Camera Functioning,Knee height,,Varies,,,,,VSFB,,,,,Zilz,
2004085,Wasp Aug-Nov,Wasp,-120.32759,34.4634,2023-08-16 00:00:00,2023-11-28 00:00:00,None,,Water source,,2093355,Wasp Cam,30,Camera Functioning,Knee height,,Parallel,,,,,HROA,,,,,,
2004085,Percos Driftwood Cam,Percos Driftwood,-120.444986,34.451459,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,Trail game,,2041545,DANGER1,10,Camera Functioning,Knee height,,Varies,,,,,JLDP,,,,,,
2004085,Boathouse May - July 2022,Boathouse,-120.6087228,34.5568009,2022-05-10 00:00:00,2022-06-03 00:00:00,None,,Trail game,,2041572,VANDY4,5,Camera Functioning,Knee height,,Pointed Downward,,,,,VSFB,,,,,,"Many animals detected during this deployment are very small or camoflauged and hard to see, e.g. ground squirrels, fence lizards, and small birds. Zoom in! Camera was off from 5/18/2022 to 6/3/2022"
2004085,Jolluru Cam,Cañada de Jolluru,-120.534867,34.536237,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041560,VANDY16,10,Camera Functioning,Knee height,,Varies,,,,,VSFB,,,,,Zilz,
2004085,Gato October,Gato Culvert,-120.37973,34.4571,2023-10-20 00:00:00,2023-11-02 00:00:00,None,,Water source,,2093320,Gato Cam,30,Camera Functioning,Knee height,,Parallel,,,,,HROA,,,,,,October deployment has incorrect dates and bursts (1 instead of 3).
2004085,Boathouse Cam,Boathouse,-120.6087228,34.5568009,2022-05-01 00:00:00,2024-05-01 00:00:00,None,,Trail game,,2041572,VANDY4,30,Camera Functioning,Knee height,,Pointed Downward,,,,,VSFB,,,,,,
2004085,Caliente November,Agua Caliente Beach,-120.25228,34.4685,2023-11-01 00:00:00,2023-11-28 00:00:00,None,,Water source,,2093314,Caliente Cam,30,Camera Functioning,Knee height,,Parallel,,,,,HROA,,,,,,
2004085,Damsite Creek Cam,Damsite Creek,-120.4264076,34.4503411,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,Water source,,2041550,DANGER7,60,Camera Functioning,Knee height,,Parallel,,,,,JLDP,,,,,,
2004085,Sudden Canyon Cam,Sudden Canyon,-120.543687,34.540297,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041558,VANDY2,10,Camera Functioning,Knee height,,Varies,,,,,VSFB,,,,,Zilz,
2004085,Old Fencepost Cam,Old Fencepost,-120.538155,34.538088,2022-05-10 00:00:00,2023-01-04 00:00:00,None,,Trail game,,2041559,VANDY15,30,Camera Hardware Failure,Chest height,,Pointed Downward,,,,,VSFB,,,,,,
2004085,Not Water Canyon Cam,Not Water Canyon,-120.5591257,34.5447124,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041567,VANDY8,10,Camera Hardware Failure,Knee height,,Varies,,,,,VSFB,,,,,,Lost in January Storm
2004085,Short Canyon Cam,Short Canyon,-120.531503,34.534763,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041561,VANDY18,10,Camera Functioning,Knee height,,Varies,,,,,VSFB,,,,,Zilz,
2004085,Caliente October,Agua Caliente Beach,-120.25228,34.4685,2023-09-25 00:00:00,2023-11-01 00:00:00,None,,Water source,,2093314,Caliente Cam,30,Camera Functioning,Knee height,,Parallel,,,,,HROA,,,,,,
2004085,Govies Cliff Cam,Govies Cliff,-120.452425,34.442691,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,Trail game,,2041551,DANGER5_2,10,Camera Functioning,Knee height,,Varies,,,,,JLDP,,,,,,Position flipped 180* on 7/31/22 11:07am
2004085,Percos Post March 2022,Percos Post,-120.431493,34.451174,2022-03-13 00:00:00,2022-04-02 00:00:00,None,,Trail game,,2041549,5,30,Camera Hardware Failure,Knee height,,Parallel,,,,,JLDP,,,,,,
2004085,Cojo Canyon Cam,Cojo Canyon,-120.49685,34.498108,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041578,DANGER34,10,Camera Hardware Failure,Knee height,,Varies,,,,,JBCP,,,,,,
2004085,Percos Boat Cam,Percos Boat,-120.445674,34.450395,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041546,2,10,Camera Functioning,Knee height,,Varies,,,,,JLDP,,,,,Zilz,
2004085,Big Cojo Cam,Big Cojo,-120.45277,34.446176,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041547,DANGER3,10,Camera Functioning,Knee height,,Varies,,,,,JLDP,,,,,Zilz,
2004085,Boneyard 09/07/2022,Boneyard,-120.47248,34.456208,2022-09-07 00:00:00,2022-10-01 00:00:00,None,,Trail game,,2089815,DANGER30,60,Camera Hardware Failure,Chest height,,Pointed Downward,,,,,JLDP,,,,,,lost in Jan 2023 storms
2004085,Percos Log Cam,Percos Log,-120.43358,34.451435,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041548,DANGER5,10,Camera Functioning,Knee height,,Varies,,,,,JLDP,,,,,Zilz,
2004085,Wood Canyon Cam,Wood Canyon,-120.4418489,34.4520732,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041573,DANGER11,10,Camera Functioning,Knee height,,Varies,,,,,JLDP,,,,,Zilz,
2004085,Llegua October,Llegua Estuary,-120.37128,34.45756,2023-09-19 00:00:00,2023-11-02 00:00:00,None,,Trail game,,2093322,Llegua Cam,30,Camera Functioning,Knee height,,Parallel,,,,,HROA,,,,,,Adjacent to Llegua Estuary otherwise known as Dolphin Carcass.
2004085,Percos Beach Cam,Percos Beach,-120.436957,34.451883,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,Trail game,,2041553,DANGER13,60,Camera Functioning,Other,Varies knee to chest,Varies,,,,,JLDP,,,,,,Camera height and position was changed 6/18/2022
2004085,Black Canyon Cam,Black Canyon,-120.475431,34.473854,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041556,DANGER12,10,Camera Functioning,Knee height,,Varies,,,,,JLDP,,,,,Zilz,
2004085,North Beach Canyon Cam,North Beach Canyon,-120.4722628,34.4601222,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041570,VANDY17,10,Camera Functioning,Knee height,,Varies,,,,,JLDP,,,,,Zilz,
2004085,Percos Post Cam,Percos Post,-120.431493,34.451174,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,Trail game,,2041548,DANGER5,30,Camera Hardware Failure,Knee height,,Parallel,,,,,JLDP,,,,,,
2004085,Auggies November,St. Augustine Beach,-120.36356,34.4576,2023-11-02 00:00:00,2023-11-16 00:00:00,None,,Trail game,,2093353,Auggies Cam,30,Camera Functioning,Knee height,,Pointed Downward,,,,,HROA,,,,,,Narrow game trail in canyon West of St. Augustine Beach
2004085,Jalama 2 Cam,Cojo 2,-120.498887,34.503387,2022-05-01 00:00:00,2023-01-01 00:00:00,None,,None,,2041575,DANGER31,10,Camera Functioning,Knee height,,Varies,,,,,JBCP,,,,,,Removed after January storm
2004085,Big Cojo Closeups Only,Big Cojo,-120.45277,34.446176,2022-06-18 00:00:00,2022-07-30 00:00:00,None,,Other,Ice Plant in front of camera,2041547,DANGER3,60,Camera Hardware Failure,Knee height,,Pointed Downward,,,,,JLDP,,,,,,sub-deployment of Big Cojo because iceplant in front of camera captured small mammals and birds that it would not have otherwise. Consider eliminating from dataset.
2004085,Ladrones Cam,Ladrones Canyon,-120.5726733,34.553372,2022-05-01 00:00:00,2023-01-01 00:00:00,None,,None,,2041564,VANDY20,10,Camera Hardware Failure,Knee height,,Varies,,,,,VSFB,,,,,,Lost in January storms
2004085,North Seawall Cam,North Seawall,-120.479758,34.480814,2022-05-01 00:00:00,2023-05-01 00:00:00,None,,None,,2041555,VANDY3,10,Camera Functioning,Knee height,,Varies,,,,,JLDP,,,,,,
