location,filename_prefix,camera name,alternate_name,maint_date,month,position,battery,img_delay_sec,burst,imgs_captured,imgs_on_sd,day_start,day_end,days_active,maint_staff,action items,field notes,footage reviewed?,review notes,imgs on zooniverse?,imgs on WI?,imgs backed up x2,on _box,other_notes,exclude
JLDP,bc_12nov22,Black Canyon Cam,,12-Nov-22,Nov,same as previous,73%,,,11696,11696,10/16/22 13:01,11/12/22 11:42,27,ME A F LW,reinforce camera,,yes,lots of misfires - camera very shaky,yes,yes,yes but not renamed,,,
JLDP,bc_14may22,Black Canyon Cam,,14-May-22,May,changed position,,,8,,7232,4/28/22 9:47,5/14/22 10:23,16,ZZ SC,,Changed position of black creek cam to hopefully do better:,yes,"order is scrambled (second half date wise is first filename wise, starts at #4329)",,yes,yes,,,
JLDP,bc_16oct22,Black Canyon Cam,,16-Oct-22,Oct,SAme as previous,,60,8,,776,10/1/22 10:31,10/16/22 11:58,15,MC,,none,yes,,,yes,yes but not renamed,,,
JLDP,bc_17sep22,Black Canyon Cam,,18-Sep-22,Sep,just placed - same as previous but wobbly,?,,8,?,6192,8/20/22 15:53,10/1/22 10:30,42,MC,fix wobble,could not open on 9/17,yes,,,yes,yes but not renamed,,,
JLDP,bc_18jun22,Black Canyon Cam,,18-Jun-22,June,pointed at sky,,60,8,,10256,5/14/22 10:26,6/14/22 18:55,31.35347222,ZZ MC ME,,"pointed at sky :(, unlocked, 100% batt, 10k images, delay at 1 min, fresh coyote and bobcat prints everywhere",yes,9801 photos before camera tilted up; actual photos ended 6/18/2022 9:09,,yes,,,,
JLDP,bc_5apr22,Black Canyon Cam,,5-Apr-22,April,placed,,300,8,,984,3/13/22 0:00,4/5/22 0:00,23,ZZ,,,yes,,,yes - accidentally uploaded all including blanks,,,,
JLDP,bc17apr22,Black Canyon Cam,,17-Apr-22,April,moved to another log to face ocean more,,300,8,,4176,4/5/22 0:00,4/17/22 0:00,12,ZZ,,,yes,missing _,,yes,,,,
JLDP,bc28apr22,Black Canyon Cam,,28-Apr-22,April,same as previous,,300,8,,1832,4/17/22 0:00,4/28/22 0:00,11,ZZ,,,yes,missing _,,yes,,,,
JLDP,big_12nov22,Big Cojo Cam,Govies,12-Nov-22,Nov,tilted,100%,,,1200,1232,10/16/22 13:27,11/12/22 14:28,27,ME A F LW,fix tilt,"left in, new card full?",yes,11/8 camera tilted; oh lord maddie made it way worse 11/12,,yes,yes but not renamed,,,
JLDP,big_16oct22,Big Cojo Cam,Govies,16-Oct-22,Oct,same as previous,100%,60,8,648,649,9/17/22 9:49,10/16/22 13:25,29,MC A M,,"left SD card in, new card full?",yes,but there is a card for this month w pics starting 9/17,,yes,,,,
