sitename,burst_settings,month,days_per_month,n,seconds,seconds_per_trapnight
Agua Caliente Beach 11/01/2023,NA,11,NA,66,NA,NA
Alegria Seawall November,NA,9,NA,21,NA,NA
Alegria Seawall November,NA,10,NA,37,NA,NA
Auggies November,NA,11,NA,36,NA,NA
Auggies November,NA,NA,NA,3,NA,NA
Big Cojo Cam,8,3,19,9,1.125,0.05921052631578947
Big Cojo Cam,8,4,33,62,7.75,0.23484848484848486
Big Cojo Cam,8,5,32,735,91.875,2.87109375
Big Cojo Cam,8,6,30,289,36.125,1.2041666666666666
Big Cojo Cam,8,7,31,450,56.25,1.814516129032258
Big Cojo Cam,8,8,32,144,18,0.5625
Big Cojo Cam,8,9,30,524,65.5,2.183333333333333
Big Cojo Cam,8,10,32,102,12.75,0.3984375
Big Cojo Cam,8,11,12,26,3.25,0.2708333333333333
Black Canyon Cam,8,3,19,300,37.5,1.9736842105263157
Black Canyon Cam,8,4,33,26,3.25,0.09848484848484848
Black Canyon Cam,8,5,32,72,9,0.28125
Black Canyon Cam,8,6,14,8,1,0.07142857142857142
Black Canyon Cam,8,8,12,16,2,0.16666666666666666
Black Canyon Cam,8,9,30,121,15.125,0.5041666666666667
Black Canyon Cam,8,10,32,139,17.375,0.54296875
Black Canyon Cam,8,11,11,38,4.75,0.4318181818181818
Boneyard Cam,8,9,24,45,5.625,0.234375
Boneyard Cam,NA,10,NA,26,NA,NA
Bulito Beach Sep-Nov,NA,9,NA,35,NA,NA
Bulito Beach Sep-Nov,NA,10,NA,43,NA,NA
Bulito Beach Sep-Nov,NA,11,NA,72,NA,NA
Caliente November,NA,11,NA,59,NA,NA
Caliente October,NA,9,NA,1,NA,NA
Caliente October,NA,NA,NA,32,NA,NA
Cojalama Cam,10,8,6,4,0.4,0.06666666666666667
Cojo Gate Cam,10,8,32,16,1.6,0.05
Cove Cam,8,4,27,6,0.75,0.027777777777777776
Cove Cam,8,5,32,9,1.125,0.03515625
Cove Cam,8,8,30,8,1,0.03333333333333333
Cove Cam,8,9,31,8,1,0.03225806451612903
Cove Cam,8,10,32,8,1,0.03125
Cove Cam,8,11,11,30,3.75,0.3409090909090909
Cove Cam,NA,3,NA,24,NA,NA
Damsite Creek Cam,8,4,14,14,1.75,0.125
Damsite Creek Cam,8,5,32,22,2.75,0.0859375
Damsite Creek Cam,8,6,30,18,2.25,0.075
Damsite Creek Cam,8,7,31,16,2,0.06451612903225806
Damsite Creek Cam,8,8,20,34,4.25,0.2125
Damsite Creek Cam,8,9,31,32,4,0.12903225806451613
Damsite Creek Cam,8,10,24,8,1,0.041666666666666664
Damsite Creek Cam,8,11,12,8,1,0.08333333333333333
Gato October,NA,NA,NA,8,NA,NA
Govies Cliff Cam,8,4,2,15,1.875,0.9375
Govies Cliff Cam,8,5,31,55,6.875,0.2217741935483871
Govies Cliff Cam,8,6,18,10,1.25,0.06944444444444445
Govies Cliff Cam,8,7,1,33,4.125,4.125
Govies Cliff Cam,8,8,32,7,0.875,0.02734375
Govies Cliff Cam,8,9,30,8,1,0.03333333333333333
Govies Cliff Cam,8,10,31,5,0.625,0.020161290322580645
Jalama Cam,10,9,31,878,87.8,2.832258064516129
Jalama Cam,10,10,31,763,76.3,2.4612903225806453
Llegua October,NA,9,NA,58,NA,NA
Llegua October,NA,10,NA,962,NA,NA
North Beach Fort Cam,8,4,14,227,28.375,2.0267857142857144
North Beach Fort Cam,8,5,31,149,18.625,0.6008064516129032
North Beach Fort Cam,8,9,30,40,5,0.16666666666666666
Percos Boat Cam,8,3,8,83,10.375,1.296875
Percos Boat Cam,8,4,28,1400,175,6.25
Percos Boat Cam,8,8,29,778,97.25,3.353448275862069
Percos Boat Cam,8,9,28,1023,127.875,4.566964285714286
Percos Boat Cam,NA,1,NA,159,NA,NA
Percos Boat Cam,NA,2,NA,24,NA,NA
Percos Boat Cam,NA,12,NA,42,NA,NA
Percos Log Cam,8,6,30,40,5,0.16666666666666666
Percos Log Cam,8,8,12,24,3,0.25
Percos Log Cam,8,9,31,8,1,0.03225806451612903
Wasp Aug-Nov,NA,11,NA,5,NA,NA
