Station,camera_ID,utm_y,utm_x,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,Problem3_from,Problem3_to,cam_brand,property,habitat adjacent,habitat secondary,IZ type,cam_change_description,burst_settings
Jalama Cam,Jalama Cam,-120.500367,34.50692,,,,,,,,,Reconyx,JBCP,game trail,canyonita,beach,,10
Jalama 2 Cam,Jalama Two Cam,-120.499625,34.505078,,,,,,,,,Reconyx,JBCP,game trail,bluff,beach,,10
Cojalama Cam,Cojalama Cam,-120.4991,34.503762,,,,,,,,,Reconyx,JBCP,bluff,bluff,beach,,10
Cojo Gate Cam,Cojo Gate Cam,-120.497963,34.501155,,,,,,,,,Reconyx,JBCP,game trail,canyon,beach,,10
Cojo Canyon Cam,Cojo Canyon Cam,-120.49685,34.498108,,,,,,,,,Reconyx,JBCP,game trail,canyonita,beach,,10
Seawall Cam,Seawall Cam,-120.479758,34.480814,,,,,,,,,Reconyx,JLDP,game trail,bluff,beach,,10
Black Canyon Cam,black canyon camera 1,-120.475431,34.473854,,,,,,,,,Browning,JLDP,game trail,canyon,beach,,8
Black Canyon Cam,black canyon camera 2,-120.475431,34.473854,,,,,,,,,Browning,JLDP,game trail,canyon,beach,"stolen in may, replaced and armored and moved slightly",8
North Beach Fort Cam,fort cam,-120.474388,34.470065,,,,,,,,,Browning,JLDP,bluff,bluff,beach,,8
North Vista Spring Cam,north vista spring,-120.473617,34.467715,,,,,,,,,Browning,JLDP,watershed,canyon,beach,,8
North Beach Canyon Cam,north beach camera 1,-120.472345,34.460105,,,,,,,,,Browning,JLDP,game trail,canyon,beach,,8
North Beach Canyon Cam,north beach camera 2,-120.472345,34.460105,,,,,,,,,Browning,JLDP,game trail,canyon,beach,CRC Donated camera was stolen and replaced,8
Boneyard Cam,Boneyard Cam,-120.472563,34.456192,,,,,,,,,Browning,JLDP,game trail,bluff,beach,,8
