$Ateles	x10	x22	x36	x42	x43	x44	x54	x57
Acacia.hayesii	0	0	0	0	0	0	1	0
Acanthaceae.Msp1	0	0	0	0	0	0	0	1
Alchornea.costaricensis	0	0	0	0	0	0	1	0
Alibertia.edulis	0	0	1	0	0	0	0	0
Allophylus.racemosus	0	1	1	0	0	0	0	0
Allophylus.sp	0	0	0	0	0	0	1	0
Ampelocera.macrocarpa	0	0	0	0	0	0	0	1
Amphilophium.crucigerum	0	0	0	0	0	0	1	0
Anacardium.excelsum	0	0	0	0	0	0	1	0
Andira.inermis	0	0	1	0	1	0	1	0
Annona.purpurea	0	0	1	0	0	0	0	0
Annona.reticulata	0	1	1	0	0	0	0	0
Annona.sp	0	0	0	0	0	0	1	0
Annonaceae.Msp1	0	0	0	0	0	0	0	1
Anthurium.sp1	0	0	0	1	0	1	0	0
Apeiba.tibourbou	0	1	1	0	0	0	1	0
Aralia.excelsa	0	1	1	0	0	0	0	0
Araliaceae.Msp1	0	0	0	1	0	0	0	0
Astrocaryum.standleyanum	0	0	0	1	0	0	1	0
Astronium.graveolens	0	0	1	0	1	0	0	0
Attalea.butyracea	0	0	0	0	0	0	0	1
Attalea.rostrata	0	0	0	0	0	0	1	0
Bactris.glandulosa.var.baileyana	0	0	0	0	0	0	0	1
Batocarpus.costaricensis	0	0	0	0	0	0	1	0
Beilschmiedia.sp1	0	0	0	0	0	0	0	1
Bromelia.pinguin	0	0	1	0	0	0	0	0
Brosimum.alicastrum	1	1	1	0	0	0	1	1
Brosimum.costaricanum	0	0	0	1	0	1	1	1
Brosimum.guianense	0	0	0	1	0	0	0	1
Brosimum.lactescens	0	0	0	1	0	0	0	1
Brosimum.utile	0	0	0	1	0	0	0	1
Bunchosia.biocellata	0	1	0	0	0	0	0	0
Bunchosia.polystachia	0	0	1	0	0	0	0	0
Bursera.simaruba	1	1	1	0	0	0	1	0
Byrsonima.cinerea	0	0	1	1	0	0	0	0
Byrsonima.crispa	0	0	0	1	0	1	0	1
Calycophyllum.candidissimum	0	0	1	0	0	0	0	0
Casearia.arguta	0	0	1	0	0	0	0	0
Casearia.laetioides	0	0	1	0	0	0	0	0
Casearia.povedae	0	0	0	0	0	0	0	1
Castilla.elastica	0	1	1	0	1	0	0	0
Castilla.tunu	0	0	0	0	0	0	1	1
Cecropia.insignis	0	0	0	0	0	0	1	1
Cecropia.obtusifolia	0	0	0	0	0	1	0	0
Cecropia.peltata	0	1	1	1	0	0	1	0
Cecropia.sp1	0	0	0	0	0	0	0	1
Cecropia.sp2	0	0	0	1	0	0	0	0
Cedrela.odorata	0	0	0	0	0	0	1	0
Ceiba.pentandra	0	0	0	0	1	0	1	0
Cheiloclinium.cognatum	0	0	0	0	0	0	0	1
Chione.venosa	0	0	0	0	0	0	0	1
Chomelia.microloba	0	0	0	0	0	0	1	0
Chomelia.spinosa	0	0	1	0	0	0	0	0
Chrysophyllum.brenesii	0	0	1	0	0	0	0	0
Chrysophyllum.cainito	0	0	0	0	0	0	0	1
Cissus.fuliginea	0	0	1	0	0	0	0	0
Cissus.microcarpa	0	0	0	0	0	0	1	0
Cissus.sp1	0	0	0	0	0	0	0	1
Cissus.sp2	0	0	0	0	0	0	1	0
Clarisia.biflora	0	0	0	0	0	0	1	1
Clusia.rosea	0	0	0	1	0	1	0	0
Clusiaceae.Msp1	0	0	0	0	0	0	0	1
Coccoloba.guanacastensis	0	1	1	0	0	0	1	0
Coccoloba.venosa	1	0	0	0	0	0	0	0
Cochlospermum.vitifolium	0	0	1	0	1	0	0	0
Combretaceae.Msp1	0	0	0	0	1	0	0	0
Combretum.assimile	0	0	0	0	0	0	1	0
Compsoneura.excelsa	0	0	0	0	0	0	0	1
Compsoneura.sprucei	0	0	0	1	0	0	0	0
Cordia.panamensis	0	1	1	0	0	0	0	0
Coussapoa.sp	0	0	0	1	0	0	0	0
Coussapoa.villosa	0	0	0	0	0	0	1	0
Crateva.tapia	0	0	0	0	0	0	1	0
Cupania.rufescens	0	0	0	0	0	0	0	1
Damburneya.umbrosa	0	0	0	0	0	0	1	1
Dendropanax.arboreus	0	0	0	1	0	1	1	0
Dialium.guineense	0	0	0	0	0	0	0	1
Dilleniaceae.Msp1	0	0	0	0	0	0	0	1
Dilodendron.costaricense	1	0	1	1	0	1	1	1
Diospyros.conzattii	0	1	0	0	0	0	0	0
Diospyros.salicifolia	0	0	1	0	0	0	0	0
Diphysa.americana	0	0	1	0	0	0	0	0
Doliocarpus.dentatus	0	0	1	0	0	0	0	0
Doliocarpus.major	0	0	0	0	0	0	1	0
Doliocarpus.sp1	0	0	0	0	0	0	0	1
Duguetia.confusa	0	0	0	0	0	0	0	1
Dussia.sp1	0	0	0	0	0	0	0	1
Elaeoluma.glabrescens	0	0	0	1	0	1	0	0
Enterolobium.cyclocarpum	0	0	0	0	0	0	1	0
Erblichia.odorata	0	0	0	0	0	0	0	1
Eugenia.acapulcensis	0	0	1	0	0	0	0	0
Eugenia.hammelii	0	0	0	0	0	0	0	1
Eugenia.salamensis	0	0	1	0	0	0	0	0
Eugenia.sp	0	0	0	0	0	0	1	0
Fabaceae.Msp1	0	0	0	0	0	0	0	1
Faramea.occidentalis	0	0	0	0	0	0	1	0
Ficus.americana	0	0	0	0	0	0	1	0
Ficus.benghalensis	0	1	1	0	0	0	0	0
Ficus.bullenei	0	0	1	0	0	0	1	0
Ficus.citrifolia	0	0	1	0	0	0	0	0
Ficus.colubrinae	0	0	0	1	0	1	1	0
Ficus.costaricana	0	0	0	0	0	0	1	0
Ficus.cotinifolia	0	1	1	0	0	0	0	0
Ficus.crocata	0	1	1	0	0	0	0	0
Ficus.goldmanii	0	1	1	0	0	0	0	0
Ficus.hondurensis	0	1	1	0	0	0	0	0
Ficus.insipida	0	0	0	0	0	0	1	1
Ficus.maxima	0	0	0	0	0	0	1	0
Ficus.nymphaeifolia	0	0	0	0	0	0	1	0
Ficus.obtusifolia	0	1	1	0	0	0	1	0
Ficus.osensis	0	0	0	0	0	0	0	1
Ficus.pertusa	0	0	0	0	0	0	1	0
