$Cebus	x6	x7	x8	x11	x12	x17	x20	x23	x29	x33	x35	x36	x39	x40	x55
Acrocomia.aculeata	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Alibertia.edulis	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Allophylus.racemosus	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1
Amphilophium.crucigerum	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
Amphilophium.paniculatum	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Anacardium.excelsum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Annona.holosericea	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Annona.purpurea	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Annona.reticulata	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Apeiba.tibourbou	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Aralia.excelsa	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0
Ardisia.compressa	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Ardisia.revoluta	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
Artocarpus.altilis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Astronium.graveolens	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Bactris.guineensis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bauhinia.ungulata	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Blepharodon.mucronatus	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Bonellia.macrocarpa.subsp.pungens	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bonellia.nervosa	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Brassavola.nodosa	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bromelia.karatas	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
Bromelia.pinguin	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1
Brosimum.alicastrum	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Bunchosia.biocellata	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bunchosia.polystachia	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Bursera.simaruba	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1
Bursera.tomentosa	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Byrsonima.cinerea	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0
Callichlamys.latifolia	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Calycophyllum.candidissimum	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Capparis.rheedei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Capparis.spinosa.var.aegyptia	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
Casearia.arguta	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
Casearia.decandra	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Casearia.laetioides	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0
Casearia.sylvestris	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Casearia.tremula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cassia.grandis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Castilla.elastica	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
