$Saimiri	x21	x3	x47	x48	x58
Anacardium.excelsum	0	1	0	1	1
Anthurium.sp2	0	1	0	0	0
Arrabidaea.sp1	0	1	0	0	0
Arrabidaea.sp2	0	1	0	0	0
Asplundia.pittieri	0	0	0	1	0
Brosimum.alicastrum	0	0	0	1	0
Brosimum.costaricanum	0	0	0	1	0
Brosimum.guianense	0	0	0	1	0
Brosimum.lactescens	0	0	0	1	0
Byrsonima.arthropoda	0	0	0	1	0
Byrsonima.cinerea	0	0	0	0	1
Calophyllum.longifolium	0	1	0	0	0
Casearia.sp2	0	0	1	0	0
Castilla.elastica	0	1	0	0	0
Castilla.tunu	0	0	1	1	0
Cecropia.heteromorfa	0	0	0	1	0
Cecropia.insignis	0	0	0	1	1
Cecropia.obtusifolia	0	1	1	1	0
Cecropia.peltata	0	0	0	1	0
Cissus.erosa	0	0	0	1	0
Cissus.sp2	0	0	0	1	0
Citharexylum.viride	0	1	0	0	0
Citrus.aurantium	0	0	0	1	0
Clidemia.capitellata	0	0	1	1	0
Clitoria.javitensis	0	0	0	0	1
Clusia.sp2	0	1	0	0	0
Coccoloba.sp2	0	1	0	0	0
Combretum.sp	0	1	0	0	0
Conostegia.schlimii	0	0	1	1	1
Conostegia.subcrustulata	0	0	1	0	0
Cordia.cymosa	0	0	0	1	0
Croton.schiedeanus	0	0	0	1	0
Davilla.nitida	0	0	0	1	0
Dialium.guineense	0	0	1	0	0
Dolichandra.uncata	0	0	0	0	1
Doliocarpus.sp2	0	1	0	0	0
Elaeis.guineensis	0	0	0	1	0
Epiphyllum.hookeri	0	0	0	1	0
Eugenia.sp	0	0	0	0	1
Faramea.occidentalis	0	0	1	0	1
Faramea.suerrensis	0	0	0	1	0
Ficus.citrifolia	0	0	0	1	0
Ficus.colubrinae	0	0	0	1	0
Ficus.costaricana	0	0	0	1	0
Ficus.donnell-smithii	0	0	0	1	0
Ficus.insipida	0	0	0	1	1
Ficus.lasiosyce	0	0	0	1	0
Ficus.obtusifolia	0	0	1	1	0
Ficus.pertusa	0	0	0	1	0
Ficus.retusa	0	0	0	0	1
Ficus.sp.O	0	0	1	0	0
Ficus.sp1.CNP	0	1	0	0	0
Ficus.sp2.CNP	0	1	0	0	0
Ficus.sp3.CNP	0	1	0	0	0
Ficus.tonduzii	0	0	0	1	0
Ficus.turrialbana	0	0	0	1	0
Guatteria.lucens	0	0	0	1	0
Guettarda.sanblasensis	0	0	0	1	0
Guettarda.sp	0	0	0	0	1
Gurania.makoyana	0	1	0	0	0
Heliconia.imbricata	0	1	0	0	0
Heliconia.latispatha	0	1	0	1	0
Heliconia.sp	0	0	0	0	1
Heliconia.wagneriana	0	1	0	0	0
Herrania.purpurea	0	1	0	0	0
Hieronyma.alchorneoides	0	0	0	1	0
Hirtella.triandra	0	0	0	1	0
Inga.alba	0	0	0	1	0
Inga.bella	0	0	0	1	0
Inga.edulis	0	0	1	0	0
Inga.jimenezii	0	0	0	1	0
