site,date,n,seconds
coca,17sep22,1244,124.4
coca,20jul22,2170,217
coca,26aug22,652,65.2
coga,17sep22,1810,181
coga,20jul22,750,75
coga,26aug22,346,34.6
coja,17sep22,282,28.2
coja,20jul22,4690,469
jal,13aug22,2413,241.3
jal,17sep22,2801,280.1
jal,20jul22,11741,1174.1
jal2,17sep22,160,16
jal2,20jul22,90,9
nbc,17sep22,53,5.3
nwc,21aug22,29,2.9
riznback,15oct22,28,2.8
sea,16oct22,214,21.4
sea,18jun22,618,61.8
sea,24aug22,1069,106.9
vj,15oct22,26,2.6
vlad,15oct22,8,0.8
vmor,15oct22,13,1.3
vmor,21aug22,20,2
vnwc,15oct22,23,2.3
vrizn,13nov22,423,42.3
vrizn,15oct22,277,27.7
vrizn,19aug22,420,42
vrizn,21aug22,49,4.9
vrizn,7sep22,142,14.2
vriznback,13nov22,9,0.9
vrizs,15oct22,30,3
vrizs,21aug22,30,3
vrizs,24jun22,37,3.7
vrizs,3jun22,16,1.6
vrizs,7sep22,7,0.7
vshc,15oct22,51,5.1
vsito,15oct22,8,0.8
vsito,21aug22,9,0.9
vsito,24jun22,47,4.7
vwc,15oct22,49,4.9
